,error,time
"{'algorithm': 'kNN', 'hyperparameters': {'k': 1, 'P': 1}}",0.0018583172825203248,0.2974421977996826
"{'algorithm': 'kNN', 'hyperparameters': {'k': 1, 'P': 2}}",0.0024105735921918893,0.3319427967071533
"{'algorithm': 'kNN', 'hyperparameters': {'k': 3, 'P': 1}}",0.0014991374741778168,0.4284546375274658
"{'algorithm': 'kNN', 'hyperparameters': {'k': 3, 'P': 2}}",0.002466769393930049,0.33426880836486816
"{'algorithm': 'kNN', 'hyperparameters': {'k': 5, 'P': 1}}",0.002185434178411952,0.5719847679138184
"{'algorithm': 'kNN', 'hyperparameters': {'k': 5, 'P': 2}}",0.004674732903009543,0.3614351749420166
"{'algorithm': 'kNN', 'hyperparameters': {'k': 7, 'P': 1}}",0.0034817792222768375,0.4923744201660156
"{'algorithm': 'kNN', 'hyperparameters': {'k': 7, 'P': 2}}",0.005518258735482509,0.3802378177642822
"{'algorithm': 'kNN', 'hyperparameters': {'k': 9, 'P': 1}}",0.002991588260654973,0.47526097297668457
"{'algorithm': 'kNN', 'hyperparameters': {'k': 9, 'P': 2}}",0.0061129266539199645,0.708611011505127
"{'algorithm': 'kNN', 'hyperparameters': {'k': 11, 'P': 1}}",0.0036135919168312327,0.36544108390808105
"{'algorithm': 'kNN', 'hyperparameters': {'k': 11, 'P': 2}}",0.006820765953007529,0.6657209396362305
"{'algorithm': 'kNN', 'hyperparameters': {'k': 13, 'P': 1}}",0.0047603267445841205,0.4338977336883545
"{'algorithm': 'kNN', 'hyperparameters': {'k': 13, 'P': 2}}",0.007739738635213098,0.43248510360717773
"{'algorithm': 'kNN', 'hyperparameters': {'k': 15, 'P': 1}}",0.004733187364839469,0.6502993106842041
"{'algorithm': 'kNN', 'hyperparameters': {'k': 15, 'P': 2}}",0.008472316434052099,0.2807168960571289
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 2}}",0.0002506430767300366,0.24683833122253418
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 4}}",0.0002506430767300366,0.5282175540924072
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 8}}",0.0002506430767300366,0.21783685684204102
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 16}}",0.0002506430767300366,0.3162264823913574
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 32}}",0.0002506430767300366,0.2283618450164795
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 64}}",0.0002506430767300366,0.563495397567749
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 128}}",0.0002506430767300366,0.23430466651916504
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 256}}",0.0002506430767300366,0.5478112697601318
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 512}}",0.0002506430767300366,0.3059210777282715
"{'algorithm': 'CART', 'hyperparameters': {'min_samples_split': 1024}}",0.0002506430767300366,0.41592860221862793
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'max_depth': 3, 'learning_rate': 0.01}}",0.00012077294685990392,758.8994789123535
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'max_depth': 3, 'learning_rate': 0.025}}",0.00012077294685990392,760.0752472877502
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'max_depth': 3, 'learning_rate': 0.05}}",0.00012077294685990392,835.9350600242615
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'max_depth': 3, 'learning_rate': 0.1}}",0.00012077294685990392,681.2543985843658
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'max_depth': 3, 'learning_rate': 0.25}}",0.00012077294685990392,281.50241255760193
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'max_depth': 3, 'learning_rate': 0.5}}",0.00012077294685990392,246.998788356781
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'max_depth': 6, 'learning_rate': 0.01}}",0.00012077294685990392,854.8854022026062
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'max_depth': 6, 'learning_rate': 0.025}}",0.00012077294685990392,812.0773530006409
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'max_depth': 6, 'learning_rate': 0.05}}",0.00012077294685990392,851.5962152481079
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'max_depth': 6, 'learning_rate': 0.1}}",0.00012077294685990392,698.7076723575592
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'max_depth': 6, 'learning_rate': 0.25}}",0.00012077294685990392,369.6634826660156
"{'algorithm': 'GB', 'hyperparameters': {'max_features': None, 'max_depth': 6, 'learning_rate': 0.5}}",0.00012077294685990392,140.9365975856781
"{'algorithm': 'GB', 'hyperparameters': {'max_features': 'log2', 'max_depth': 3, 'learning_rate': 0.01}}",0.00012077294685990392,795.6406362056732
"{'algorithm': 'GB', 'hyperparameters': {'max_features': 'log2', 'max_depth': 3, 'learning_rate': 0.025}}",0.00012077294685990392,862.7919616699219
"{'algorithm': 'GB', 'hyperparameters': {'max_features': 'log2', 'max_depth': 3, 'learning_rate': 0.05}}",0.00012077294685990392,842.2927510738373
"{'algorithm': 'GB', 'hyperparameters': {'max_features': 'log2', 'max_depth': 3, 'learning_rate': 0.1}}",0.00012077294685990392,802.1697816848755
"{'algorithm': 'GB', 'hyperparameters': {'max_features': 'log2', 'max_depth': 3, 'learning_rate': 0.25}}",0.00012077294685990392,395.92398715019226
"{'algorithm': 'GB', 'hyperparameters': {'max_features': 'log2', 'max_depth': 3, 'learning_rate': 0.5}}",0.00012077294685990392,241.09750843048096
"{'algorithm': 'GB', 'hyperparameters': {'max_features': 'log2', 'max_depth': 6, 'learning_rate': 0.01}}",0.00012077294685990392,1179.8582181930542
"{'algorithm': 'GB', 'hyperparameters': {'max_features': 'log2', 'max_depth': 6, 'learning_rate': 0.025}}",0.00012077294685990392,1173.3024544715881
"{'algorithm': 'GB', 'hyperparameters': {'max_features': 'log2', 'max_depth': 6, 'learning_rate': 0.05}}",0.00012077294685990392,1072.7539010047913
"{'algorithm': 'GB', 'hyperparameters': {'max_features': 'log2', 'max_depth': 6, 'learning_rate': 0.1}}",0.00012077294685990392,818.590452671051
"{'algorithm': 'GB', 'hyperparameters': {'max_features': 'log2', 'max_depth': 6, 'learning_rate': 0.25}}",0.00012077294685990392,479.98060965538025
"{'algorithm': 'GB', 'hyperparameters': {'max_features': 'log2', 'max_depth': 6, 'learning_rate': 0.5}}",0.00012077294685990392,273.9594216346741
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 0.125}}",0.007442564238338134,0.6506836414337158
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 0.25}}",0.005970222397049541,0.5567786693572998
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 0.5}}",0.0027373196746786482,0.5936298370361328
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 1}}",0.002084549412533371,0.9380922317504883
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 2}}",0.001748185530299154,1.148967981338501
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 4}}",0.001536939289009992,0.8964748382568359
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 8}}",0.0016442354263490528,2.14798903465271
"{'algorithm': 'lSVM', 'hyperparameters': {'C': 16}}",0.001536939289009992,2.06477952003479
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 0.125, 'kernel': 'rbf', 'coef0': 0}}",0.010926935427484793,757.0174057483673
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 0.125, 'kernel': 'rbf', 'coef0': 10}}",0.010926935427484793,753.4442811012268
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 0.125, 'kernel': 'poly', 'coef0': 0}}",0.021325012974720396,688.7498676776886
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 0.125, 'kernel': 'poly', 'coef0': 10}}",0.0,40.52425670623779
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 0.25, 'kernel': 'rbf', 'coef0': 0}}",0.007246936485934158,631.5260226726532
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 0.25, 'kernel': 'rbf', 'coef0': 10}}",0.007246936485934158,631.4439556598663
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 0.25, 'kernel': 'poly', 'coef0': 0}}",0.018954304332483955,510.4256377220154
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 0.25, 'kernel': 'poly', 'coef0': 10}}",0.0,54.454614877700806
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 0.5, 'kernel': 'rbf', 'coef0': 0}}",0.008506178091300031,509.46922492980957
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 0.5, 'kernel': 'rbf', 'coef0': 10}}",0.008506178091300031,509.62306928634644
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 0.5, 'kernel': 'poly', 'coef0': 0}}",0.018472373958099753,400.8487150669098
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 0.5, 'kernel': 'poly', 'coef0': 10}}",0.0,36.52940559387207
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 1, 'kernel': 'rbf', 'coef0': 0}}",0.007171268222915858,430.40534257888794
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 1, 'kernel': 'rbf', 'coef0': 10}}",0.007171268222915858,415.9166648387909
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 1, 'kernel': 'poly', 'coef0': 0}}",0.01720082918973324,415.90249395370483
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 1, 'kernel': 'poly', 'coef0': 10}}",0.0,46.47191143035889
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 2, 'kernel': 'rbf', 'coef0': 0}}",0.0037031267180754725,271.5914583206177
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 2, 'kernel': 'rbf', 'coef0': 10}}",0.0037031267180754725,305.35146737098694
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 2, 'kernel': 'poly', 'coef0': 0}}",0.016636905788616894,346.48762679100037
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 2, 'kernel': 'poly', 'coef0': 10}}",0.0,59.01169753074646
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 4, 'kernel': 'rbf', 'coef0': 0}}",0.002280074110028471,272.42728424072266
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 4, 'kernel': 'rbf', 'coef0': 10}}",0.002280074110028471,278.6367082595825
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 4, 'kernel': 'poly', 'coef0': 0}}",0.0147391737019115,236.32164311408997
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 4, 'kernel': 'poly', 'coef0': 10}}",0.0,78.68324851989746
"{'algorithm': 'kSVM', 'hyperparameters': {'C': 8, 'kernel': 'rbf', 'coef0': 0}}",0.0006367755431187811,255.04377937316895
